iter	RMSE
0	47.51904088
1	47.20146054
2	46.73448716
3	46.33060179
4	45.85817956
5	45.47262936
6	45.0158589
7	44.65751806
8	44.40717894
9	43.94901926
10	43.55137252
11	43.21424414
12	42.96651661
13	42.6197919
14	42.33361305
15	41.94234763
16	41.7794292
17	41.50627434
18	41.13241969
19	40.70699045
20	40.4144192
21	40.16089921
22	39.87540809
23	39.54325578
24	39.28183523
25	39.0932645
26	38.79179884
27	38.50783323
28	38.32121514
29	38.02670971
30	37.82285598
31	37.6197096
32	37.45391262
33	37.29062481
34	37.02830101
35	36.93326628
36	36.69181954
37	36.42334082
38	36.1390819
39	35.89976251
40	35.63721708
41	35.41299118
42	35.11544331
43	34.79162881
44	34.58504489
45	34.47664747
46	34.24266855
47	34.00390842
48	33.83394271
49	33.64111963
50	33.43081201
51	33.20618881
52	33.07826985
53	32.91358835
54	32.61859295
55	32.43475648
56	32.30691204
57	32.10252251
58	31.88444324
59	31.68655403
60	31.49380752
61	31.26998174
62	31.05402737
63	30.88765653
64	30.64834303
65	30.45155586
66	30.28987895
67	30.14365956
68	29.98413976
69	29.80196339
70	29.61124173
71	29.43864765
72	29.2656469
73	29.11568006
74	28.86833472
75	28.65635949
76	28.45958297
77	28.31431148
78	28.10471781
79	27.940937
80	27.76714675
81	27.65499586
82	27.49553319
83	27.36374216
84	27.16181847
85	27.02725223
86	26.92019693
87	26.78906082
88	26.67106919
89	26.43442716
90	26.22336663
91	26.06624394
92	25.93615151
93	25.78386736
94	25.68766146
95	25.49756999
96	25.35852983
97	25.17021841
98	25.05320157
99	24.92021008
100	24.82075001
101	24.66959295
102	24.60565679
103	24.50122882
104	24.418038
105	24.26508822
106	24.11708773
107	24.00077959
108	23.86021829
109	23.75779092
110	23.61851502
111	23.54618642
112	23.37995421
113	23.23368473
114	23.06678397
115	22.9333267
116	22.81891917
117	22.6905569
118	22.52897413
119	22.44753516
120	22.35734521
121	22.20374958
122	22.07818534
123	21.93293417
124	21.83119101
125	21.71141595
126	21.63146531
127	21.51082704
128	21.43573314
129	21.32924052
130	21.27737119
131	21.17422661
132	21.05568445
133	20.97560367
134	20.86735627
135	20.79376575
136	20.70500024
137	20.61337225
138	20.56487012
139	20.42465238
140	20.30149989
141	20.23067807
142	20.15187261
143	20.01080065
144	19.91829602
145	19.81170776
146	19.72089604
147	19.58267649
148	19.43201191
149	19.32169189
150	19.24679493
151	19.13573588
152	18.99989103
153	18.86202857
154	18.74489538
155	18.68114366
156	18.5801899
157	18.50856949
158	18.43102135
159	18.36056991
160	18.23634207
161	18.17055329
162	18.08130986
163	18.01191551
164	17.88694721
165	17.79635286
166	17.71199349
167	17.60731982
168	17.53276696
169	17.40248766
170	17.34560413
171	17.25887508
172	17.20028133
173	17.08680922
174	17.02191483
175	16.98908679
176	16.94423347
177	16.87803896
178	16.78674493
179	16.69078917
180	16.62693429
181	16.55421719
182	16.49622934
183	16.41064583
184	16.29809748
185	16.18296416
186	16.09139381
187	15.99079953
188	15.91338353
189	15.85679458
190	15.75742565
191	15.62577189
192	15.51726015
193	15.43994105
194	15.38470419
195	15.27086193
196	15.21542652
197	15.12120693
198	15.01601974
199	14.93229724
200	14.90207264
201	14.83620233
202	14.7325061
203	14.63734411
204	14.533635
205	14.45316603
206	14.42470489
207	14.3056412
208	14.22288822
209	14.15862676
210	14.09513192
211	13.98980389
212	13.88316892
213	13.76802726
214	13.70498401
215	13.63742793
216	13.58945943
217	13.48512084
218	13.38397911
219	13.32885303
220	13.26328821
221	13.22964671
222	13.12226709
223	13.08267057
224	13.03446043
225	12.98892746
226	12.88812883
227	12.79454574
228	12.75309076
229	12.71377236
230	12.66886184
231	12.57024856
232	12.52465766
233	12.42807529
234	12.35641214
235	12.30888014
236	12.25082109
237	12.20996435
238	12.1834335
239	12.09265864
240	12.04740072
241	11.9602143
242	11.8925968
243	11.82809557
244	11.73265837
245	11.69338472
246	11.63819292
247	11.60260908
248	11.53284579
249	11.43329425
250	11.35259055
251	11.32120383
252	11.23532445
253	11.1567409
254	11.12144598
255	11.07425805
256	10.9935893
257	10.95883238
258	10.90916791
259	10.87015265
260	10.83465525
261	10.79847636
262	10.72576442
263	10.70276102
264	10.66793199
265	10.63583237
266	10.60185315
267	10.52420574
268	10.48851347
269	10.39876497
270	10.36355434
271	10.33512149
272	10.24432726
273	10.15144326
274	10.09215536
275	10.02398707
276	9.980825402
277	9.930396738
278	9.846376439
279	9.784733731
280	9.762170983
281	9.719105315
282	9.686563754
283	9.661231676
284	9.578607704
285	9.494553169
286	9.477593169
287	9.446083486
288	9.426004965
289	9.38558124
290	9.365858959
291	9.296587607
292	9.216165138
293	9.193490028
294	9.122370926
295	9.054641862
296	8.980661262
297	8.941310535
298	8.902334688
299	8.883859129
300	8.86509111
301	8.793978885
302	8.75908849
303	8.738981023
304	8.66638868
305	8.629359482
306	8.601295319
307	8.585757257
308	8.546123149
309	8.519447022
310	8.452896503
311	8.417750654
312	8.398289527
313	8.331694723
314	8.305141061
315	8.279081619
316	8.260287926
317	8.195127711
318	8.131266757
319	8.110793832
320	8.096361406
321	8.082082648
322	8.061521328
323	8.028429532
324	8.014541815
